match_id,player_id,team_id,zone_code,touches,data_source
WC2026_M100,p_arg_01,ARG,C1R1,13,MODELED
WC2026_M100,p_arg_01,ARG,C1R2,13,MODELED
WC2026_M100,p_arg_01,ARG,C1R3,16,MODELED
WC2026_M100,p_arg_01,ARG,C1R4,12,MODELED
WC2026_M100,p_arg_01,ARG,C1R5,9,MODELED
WC2026_M100,p_arg_01,ARG,C2R1,9,MODELED
WC2026_M100,p_arg_01,ARG,C2R2,12,MODELED
WC2026_M100,p_arg_01,ARG,C2R3,16,MODELED
WC2026_M100,p_arg_01,ARG,C2R4,9,MODELED
WC2026_M100,p_arg_01,ARG,C2R5,12,MODELED
WC2026_M100,p_arg_01,ARG,C3R1,5,MODELED
WC2026_M100,p_arg_01,ARG,C3R2,6,MODELED
WC2026_M100,p_arg_01,ARG,C3R3,11,MODELED
WC2026_M100,p_arg_01,ARG,C3R4,7,MODELED
WC2026_M100,p_arg_01,ARG,C3R5,4,MODELED
WC2026_M100,p_arg_01,ARG,C4R1,3,MODELED
WC2026_M100,p_arg_01,ARG,C4R2,2,MODELED
WC2026_M100,p_arg_01,ARG,C4R3,3,MODELED
WC2026_M100,p_arg_01,ARG,C4R4,3,MODELED
WC2026_M100,p_arg_01,ARG,C4R5,2,MODELED
WC2026_M100,p_arg_01,ARG,C5R2,1,MODELED
WC2026_M100,p_arg_01,ARG,C5R3,1,MODELED
WC2026_M100,p_arg_01,ARG,C5R4,1,MODELED
WC2026_M100,p_arg_01,ARG,C5R5,1,MODELED
WC2026_M100,p_arg_02,ARG,C1R1,3,MODELED
WC2026_M100,p_arg_02,ARG,C1R2,4,MODELED
WC2026_M100,p_arg_02,ARG,C1R3,4,MODELED
WC2026_M100,p_arg_02,ARG,C1R4,4,MODELED
WC2026_M100,p_arg_02,ARG,C1R5,5,MODELED
WC2026_M100,p_arg_02,ARG,C2R1,4,MODELED
WC2026_M100,p_arg_02,ARG,C2R2,7,MODELED
WC2026_M100,p_arg_02,ARG,C2R3,9,MODELED
WC2026_M100,p_arg_02,ARG,C2R4,8,MODELED
WC2026_M100,p_arg_02,ARG,C2R5,4,MODELED
WC2026_M100,p_arg_02,ARG,C3R1,5,MODELED
WC2026_M100,p_arg_02,ARG,C3R2,6,MODELED
WC2026_M100,p_arg_02,ARG,C3R3,9,MODELED
WC2026_M100,p_arg_02,ARG,C3R4,5,MODELED
WC2026_M100,p_arg_02,ARG,C3R5,5,MODELED
WC2026_M100,p_arg_02,ARG,C4R1,2,MODELED
WC2026_M100,p_arg_02,ARG,C4R2,5,MODELED
WC2026_M100,p_arg_02,ARG,C4R3,4,MODELED
WC2026_M100,p_arg_02,ARG,C4R4,3,MODELED
WC2026_M100,p_arg_02,ARG,C4R5,3,MODELED
WC2026_M100,p_arg_02,ARG,C5R1,1,MODELED
WC2026_M100,p_arg_02,ARG,C5R2,2,MODELED
WC2026_M100,p_arg_02,ARG,C5R3,1,MODELED
WC2026_M100,p_arg_02,ARG,C5R4,1,MODELED
WC2026_M100,p_arg_02,ARG,C5R5,1,MODELED
WC2026_M100,p_arg_03,ARG,C1R1,6,MODELED
WC2026_M100,p_arg_03,ARG,C1R2,8,MODELED
WC2026_M100,p_arg_03,ARG,C1R3,6,MODELED
WC2026_M100,p_arg_03,ARG,C1R4,5,MODELED
WC2026_M100,p_arg_03,ARG,C1R5,6,MODELED
WC2026_M100,p_arg_03,ARG,C2R1,5,MODELED
WC2026_M100,p_arg_03,ARG,C2R2,6,MODELED
WC2026_M100,p_arg_03,ARG,C2R3,13,MODELED
WC2026_M100,p_arg_03,ARG,C2R4,6,MODELED
WC2026_M100,p_arg_03,ARG,C2R5,7,MODELED
WC2026_M100,p_arg_03,ARG,C3R1,7,MODELED
WC2026_M100,p_arg_03,ARG,C3R2,8,MODELED
WC2026_M100,p_arg_03,ARG,C3R3,9,MODELED
WC2026_M100,p_arg_03,ARG,C3R4,6,MODELED
WC2026_M100,p_arg_03,ARG,C3R5,6,MODELED
WC2026_M100,p_arg_03,ARG,C4R1,4,MODELED
WC2026_M100,p_arg_03,ARG,C4R2,6,MODELED
WC2026_M100,p_arg_03,ARG,C4R3,7,MODELED
WC2026_M100,p_arg_03,ARG,C4R4,4,MODELED
WC2026_M100,p_arg_03,ARG,C4R5,3,MODELED
WC2026_M100,p_arg_03,ARG,C5R1,1,MODELED
WC2026_M100,p_arg_03,ARG,C5R2,1,MODELED
WC2026_M100,p_arg_03,ARG,C5R3,2,MODELED
WC2026_M100,p_arg_03,ARG,C5R4,2,MODELED
WC2026_M100,p_arg_03,ARG,C5R5,1,MODELED
WC2026_M100,p_arg_03,ARG,C6R3,1,MODELED
WC2026_M100,p_arg_04,ARG,C1R1,4,MODELED
WC2026_M100,p_arg_04,ARG,C1R2,4,MODELED
WC2026_M100,p_arg_04,ARG,C1R3,7,MODELED
WC2026_M100,p_arg_04,ARG,C1R4,6,MODELED
WC2026_M100,p_arg_04,ARG,C1R5,6,MODELED
WC2026_M100,p_arg_04,ARG,C2R1,6,MODELED
WC2026_M100,p_arg_04,ARG,C2R2,7,MODELED
WC2026_M100,p_arg_04,ARG,C2R3,7,MODELED
WC2026_M100,p_arg_04,ARG,C2R4,7,MODELED
WC2026_M100,p_arg_04,ARG,C2R5,6,MODELED
WC2026_M100,p_arg_04,ARG,C3R1,6,MODELED
WC2026_M100,p_arg_04,ARG,C3R2,7,MODELED
WC2026_M100,p_arg_04,ARG,C3R3,10,MODELED
WC2026_M100,p_arg_04,ARG,C3R4,6,MODELED
WC2026_M100,p_arg_04,ARG,C3R5,5,MODELED
WC2026_M100,p_arg_04,ARG,C4R1,3,MODELED
WC2026_M100,p_arg_04,ARG,C4R2,5,MODELED
WC2026_M100,p_arg_04,ARG,C4R3,6,MODELED
WC2026_M100,p_arg_04,ARG,C4R4,4,MODELED
WC2026_M100,p_arg_04,ARG,C4R5,4,MODELED
WC2026_M100,p_arg_04,ARG,C5R1,1,MODELED
WC2026_M100,p_arg_04,ARG,C5R2,1,MODELED
WC2026_M100,p_arg_04,ARG,C5R3,2,MODELED
WC2026_M100,p_arg_04,ARG,C5R4,2,MODELED
WC2026_M100,p_arg_04,ARG,C5R5,1,MODELED
WC2026_M100,p_arg_04,ARG,C6R3,1,MODELED
WC2026_M100,p_arg_05,ARG,C1R1,5,MODELED
WC2026_M100,p_arg_05,ARG,C1R2,4,MODELED
WC2026_M100,p_arg_05,ARG,C1R3,4,MODELED
WC2026_M100,p_arg_05,ARG,C1R4,3,MODELED
WC2026_M100,p_arg_05,ARG,C1R5,4,MODELED
WC2026_M100,p_arg_05,ARG,C2R1,4,MODELED
WC2026_M100,p_arg_05,ARG,C2R2,8,MODELED
WC2026_M100,p_arg_05,ARG,C2R3,8,MODELED
WC2026_M100,p_arg_05,ARG,C2R4,7,MODELED
WC2026_M100,p_arg_05,ARG,C2R5,6,MODELED
WC2026_M100,p_arg_05,ARG,C3R1,4,MODELED
WC2026_M100,p_arg_05,ARG,C3R2,5,MODELED
WC2026_M100,p_arg_05,ARG,C3R3,6,MODELED
WC2026_M100,p_arg_05,ARG,C3R4,6,MODELED
WC2026_M100,p_arg_05,ARG,C3R5,4,MODELED
WC2026_M100,p_arg_05,ARG,C4R1,3,MODELED
WC2026_M100,p_arg_05,ARG,C4R2,3,MODELED
WC2026_M100,p_arg_05,ARG,C4R3,5,MODELED
WC2026_M100,p_arg_05,ARG,C4R4,4,MODELED
WC2026_M100,p_arg_05,ARG,C4R5,3,MODELED
WC2026_M100,p_arg_05,ARG,C5R1,1,MODELED
WC2026_M100,p_arg_05,ARG,C5R2,1,MODELED
WC2026_M100,p_arg_05,ARG,C5R3,1,MODELED
WC2026_M100,p_arg_05,ARG,C5R4,2,MODELED
WC2026_M100,p_arg_05,ARG,C5R5,1,MODELED
WC2026_M100,p_arg_06,ARG,C1R1,2,MODELED
WC2026_M100,p_arg_06,ARG,C1R2,1,MODELED
WC2026_M100,p_arg_06,ARG,C1R3,1,MODELED
WC2026_M100,p_arg_06,ARG,C1R4,1,MODELED
WC2026_M100,p_arg_06,ARG,C1R5,1,MODELED
WC2026_M100,p_arg_06,ARG,C2R1,3,MODELED
WC2026_M100,p_arg_06,ARG,C2R2,5,MODELED
WC2026_M100,p_arg_06,ARG,C2R3,5,MODELED
WC2026_M100,p_arg_06,ARG,C2R4,4,MODELED
WC2026_M100,p_arg_06,ARG,C2R5,2,MODELED
WC2026_M100,p_arg_06,ARG,C3R1,4,MODELED
WC2026_M100,p_arg_06,ARG,C3R2,6,MODELED
WC2026_M100,p_arg_06,ARG,C3R3,7,MODELED
WC2026_M100,p_arg_06,ARG,C3R4,7,MODELED
WC2026_M100,p_arg_06,ARG,C3R5,6,MODELED
WC2026_M100,p_arg_06,ARG,C4R1,7,MODELED
WC2026_M100,p_arg_06,ARG,C4R2,9,MODELED
WC2026_M100,p_arg_06,ARG,C4R3,7,MODELED
WC2026_M100,p_arg_06,ARG,C4R4,8,MODELED
WC2026_M100,p_arg_06,ARG,C4R5,5,MODELED
WC2026_M100,p_arg_06,ARG,C5R1,3,MODELED
WC2026_M100,p_arg_06,ARG,C5R2,4,MODELED
WC2026_M100,p_arg_06,ARG,C5R3,8,MODELED
WC2026_M100,p_arg_06,ARG,C5R4,4,MODELED
WC2026_M100,p_arg_06,ARG,C5R5,5,MODELED
WC2026_M100,p_arg_06,ARG,C6R1,2,MODELED
WC2026_M100,p_arg_06,ARG,C6R2,2,MODELED
WC2026_M100,p_arg_06,ARG,C6R3,2,MODELED
WC2026_M100,p_arg_06,ARG,C6R4,3,MODELED
WC2026_M100,p_arg_06,ARG,C6R5,2,MODELED
WC2026_M100,p_arg_07,ARG,C1R1,1,MODELED
WC2026_M100,p_arg_07,ARG,C1R2,1,MODELED
WC2026_M100,p_arg_07,ARG,C1R3,2,MODELED
WC2026_M100,p_arg_07,ARG,C1R4,2,MODELED
WC2026_M100,p_arg_07,ARG,C1R5,2,MODELED
WC2026_M100,p_arg_07,ARG,C2R1,3,MODELED
WC2026_M100,p_arg_07,ARG,C2R2,4,MODELED
WC2026_M100,p_arg_07,ARG,C2R3,5,MODELED
WC2026_M100,p_arg_07,ARG,C2R4,4,MODELED
WC2026_M100,p_arg_07,ARG,C2R5,3,MODELED
WC2026_M100,p_arg_07,ARG,C3R1,6,MODELED
WC2026_M100,p_arg_07,ARG,C3R2,7,MODELED
WC2026_M100,p_arg_07,ARG,C3R3,7,MODELED
WC2026_M100,p_arg_07,ARG,C3R4,6,MODELED
WC2026_M100,p_arg_07,ARG,C3R5,5,MODELED
WC2026_M100,p_arg_07,ARG,C4R1,7,MODELED
WC2026_M100,p_arg_07,ARG,C4R2,6,MODELED
WC2026_M100,p_arg_07,ARG,C4R3,7,MODELED
WC2026_M100,p_arg_07,ARG,C4R4,7,MODELED
WC2026_M100,p_arg_07,ARG,C4R5,7,MODELED
WC2026_M100,p_arg_07,ARG,C5R1,5,MODELED
WC2026_M100,p_arg_07,ARG,C5R2,4,MODELED
WC2026_M100,p_arg_07,ARG,C5R3,4,MODELED
WC2026_M100,p_arg_07,ARG,C5R4,6,MODELED
WC2026_M100,p_arg_07,ARG,C5R5,5,MODELED
WC2026_M100,p_arg_07,ARG,C6R1,2,MODELED
WC2026_M100,p_arg_07,ARG,C6R2,2,MODELED
WC2026_M100,p_arg_07,ARG,C6R3,4,MODELED
WC2026_M100,p_arg_07,ARG,C6R4,2,MODELED
WC2026_M100,p_arg_07,ARG,C6R5,2,MODELED
WC2026_M100,p_arg_08,ARG,C1R1,2,MODELED
WC2026_M100,p_arg_08,ARG,C1R2,1,MODELED
WC2026_M100,p_arg_08,ARG,C1R3,2,MODELED
WC2026_M100,p_arg_08,ARG,C1R4,2,MODELED
WC2026_M100,p_arg_08,ARG,C1R5,2,MODELED
WC2026_M100,p_arg_08,ARG,C2R1,4,MODELED
WC2026_M100,p_arg_08,ARG,C2R2,4,MODELED
WC2026_M100,p_arg_08,ARG,C2R3,6,MODELED
WC2026_M100,p_arg_08,ARG,C2R4,4,MODELED
WC2026_M100,p_arg_08,ARG,C2R5,4,MODELED
WC2026_M100,p_arg_08,ARG,C3R1,8,MODELED
WC2026_M100,p_arg_08,ARG,C3R2,6,MODELED
WC2026_M100,p_arg_08,ARG,C3R3,7,MODELED
WC2026_M100,p_arg_08,ARG,C3R4,9,MODELED
WC2026_M100,p_arg_08,ARG,C3R5,7,MODELED
WC2026_M100,p_arg_08,ARG,C4R1,8,MODELED
WC2026_M100,p_arg_08,ARG,C4R2,7,MODELED
WC2026_M100,p_arg_08,ARG,C4R3,11,MODELED
WC2026_M100,p_arg_08,ARG,C4R4,10,MODELED
WC2026_M100,p_arg_08,ARG,C4R5,10,MODELED
WC2026_M100,p_arg_08,ARG,C5R1,4,MODELED
WC2026_M100,p_arg_08,ARG,C5R2,6,MODELED
