match_id,window_start,window_end,team_id,attack_pct,defense_pct,transition_off_def_pct,transition_def_off_pct,data_source
WC2026_M100,0,5,ARG,39.9,33.5,13.6,13.1,MODELED
WC2026_M100,0,5,SUI,25.0,27.4,23.8,23.8,MODELED
WC2026_M100,5,10,ARG,51.1,34.6,6.4,7.9,MODELED
WC2026_M100,5,10,SUI,21.9,33.1,26.4,18.6,MODELED
WC2026_M100,10,15,ARG,39.9,24.1,14.7,21.3,MODELED
WC2026_M100,10,15,SUI,23.7,28.5,23.7,24.1,MODELED
WC2026_M100,15,20,ARG,45.6,23.3,17.9,13.3,MODELED
WC2026_M100,15,20,SUI,33.8,32.9,13.9,19.3,MODELED
WC2026_M100,20,25,ARG,51.4,25.6,11.5,11.4,MODELED
WC2026_M100,20,25,SUI,23.4,34.3,25.2,17.1,MODELED
WC2026_M100,25,30,ARG,39.2,30.2,12.6,18.0,MODELED
WC2026_M100,25,30,SUI,20.9,29.6,29.2,20.3,MODELED
WC2026_M100,30,35,ARG,45.9,23.1,15.6,15.4,MODELED
WC2026_M100,30,35,SUI,31.4,33.7,17.3,17.5,MODELED
WC2026_M100,35,40,ARG,47.5,29.0,11.4,12.1,MODELED
WC2026_M100,35,40,SUI,33.1,31.6,18.3,17.0,MODELED
WC2026_M100,40,45,ARG,40.8,34.9,12.1,12.2,MODELED
WC2026_M100,40,45,SUI,32.3,32.2,16.1,19.4,MODELED
WC2026_M100,45,50,ARG,39.5,23.1,17.0,20.4,MODELED
WC2026_M100,45,50,SUI,29.4,31.8,18.9,19.9,MODELED
WC2026_M100,50,55,ARG,51.2,30.9,9.3,8.6,MODELED
WC2026_M100,50,55,SUI,31.0,30.3,17.4,21.3,MODELED
WC2026_M100,55,60,ARG,39.4,27.9,18.1,14.6,MODELED
WC2026_M100,55,60,SUI,25.0,22.1,24.2,28.7,MODELED
WC2026_M100,60,65,ARG,44.6,33.2,11.7,10.5,MODELED
WC2026_M100,60,65,SUI,26.2,23.5,26.0,24.3,MODELED
WC2026_M100,65,70,ARG,48.5,25.3,12.6,13.5,MODELED
WC2026_M100,65,70,SUI,27.4,23.0,19.9,29.7,MODELED
WC2026_M100,70,75,ARG,47.8,24.9,11.2,16.1,MODELED
WC2026_M100,70,75,SUI,31.0,32.8,16.1,20.2,MODELED
WC2026_M100,75,80,ARG,51.1,29.9,8.9,10.1,MODELED
WC2026_M100,75,80,SUI,17.6,31.1,22.8,28.5,MODELED
WC2026_M100,80,85,ARG,43.8,33.9,10.8,11.5,MODELED
WC2026_M100,80,85,SUI,12.4,30.3,24.8,32.5,MODELED
WC2026_M100,85,90,ARG,42.0,22.5,20.8,14.7,MODELED
WC2026_M100,85,90,SUI,21.5,24.0,32.7,21.8,MODELED
WC2026_M100,90,95,ARG,42.0,29.6,14.9,13.5,MODELED
WC2026_M100,90,95,SUI,25.2,29.8,20.7,24.2,MODELED
WC2026_M100,95,100,ARG,38.6,32.1,12.7,16.6,MODELED
WC2026_M100,95,100,SUI,25.0,28.6,24.6,21.8,MODELED
WC2026_M100,100,105,ARG,44.4,29.7,14.8,11.1,MODELED
WC2026_M100,100,105,SUI,17.7,25.8,25.8,30.7,MODELED
WC2026_M100,105,110,ARG,44.6,25.2,15.3,14.8,MODELED
WC2026_M100,105,110,SUI,18.7,30.4,24.1,26.8,MODELED
WC2026_M100,110,115,ARG,42.5,34.2,11.0,12.3,MODELED
WC2026_M100,110,115,SUI,17.5,27.7,24.6,30.1,MODELED
WC2026_M100,115,120,ARG,48.8,23.8,14.9,12.5,MODELED
WC2026_M100,115,120,SUI,13.4,29.2,32.6,24.8,MODELED
