match_id,sequence_id,team_id,start_minute,end_minute,duration_seconds,end_reason,led_to_shot,resulting_shot_id,is_goal,data_source
WC2026_M100,PS001,SUI,0.0,0.37,22,Foul Conceded,No,,No,MODELED
WC2026_M100,PS002,ARG,0.37,0.97,36,Offside,No,,No,MODELED
WC2026_M100,PS003,ARG,0.97,1.55,35,Turnover,No,,No,MODELED
WC2026_M100,PS004,SUI,1.55,1.98,26,Turnover,No,,No,MODELED
WC2026_M100,PS005,ARG,1.98,2.55,34,Shot,Yes,SH06,No,MODELED
WC2026_M100,PS006,ARG,2.55,3.15,36,Offside,No,,No,MODELED
WC2026_M100,PS007,ARG,3.15,3.68,32,Turnover,No,,No,MODELED
WC2026_M100,PS008,ARG,3.68,4.08,24,Foul Conceded,No,,No,MODELED
WC2026_M100,PS009,ARG,4.08,4.43,21,Out of Play,No,,No,MODELED
WC2026_M100,PS010,ARG,4.43,4.83,24,Out of Play,No,,No,MODELED
WC2026_M100,PS011,ARG,4.83,5.23,24,Shot,Yes,SH07,No,MODELED
WC2026_M100,PS012,ARG,5.23,5.53,18,Turnover,No,,No,MODELED
WC2026_M100,PS013,ARG,5.53,5.85,19,Foul Conceded,No,,No,MODELED
WC2026_M100,PS014,SUI,5.85,6.43,35,Turnover,No,,No,MODELED
WC2026_M100,PS015,ARG,6.43,7.0,34,Turnover,No,,No,MODELED
WC2026_M100,PS016,SUI,7.0,7.45,27,Out of Play,No,,No,MODELED
WC2026_M100,PS017,SUI,7.45,7.85,24,Turnover,No,,No,MODELED
WC2026_M100,PS018,ARG,7.85,8.32,28,Shot,Yes,SH08,No,MODELED
WC2026_M100,PS019,SUI,8.32,8.72,24,Foul Conceded,No,,No,MODELED
WC2026_M100,PS020,ARG,8.72,9.37,39,Turnover,No,,No,MODELED
WC2026_M100,PS021,SUI,9.37,9.79,25,Turnover,No,,No,MODELED
WC2026_M100,PS022,SUI,9.79,10.02,14,Turnover,No,,No,MODELED
WC2026_M100,PS023,ARG,10.02,10.4,23,Shot,Yes,SH01,Yes,REAL_EVENT_MODELED_XG
WC2026_M100,PS024,ARG,10.4,10.87,28,Turnover,No,,No,MODELED
WC2026_M100,PS025,ARG,10.87,11.52,39,Out of Play,No,,No,MODELED
WC2026_M100,PS026,ARG,11.52,12.02,30,Offside,No,,No,MODELED
WC2026_M100,PS027,ARG,12.02,12.35,20,Turnover,No,,No,MODELED
WC2026_M100,PS028,SUI,12.35,12.83,29,Turnover,No,,No,MODELED
WC2026_M100,PS029,SUI,12.83,13.05,13,Turnover,No,,No,MODELED
WC2026_M100,PS030,SUI,13.05,13.4,21,Turnover,No,,No,MODELED
WC2026_M100,PS031,ARG,13.4,14.07,40,Turnover,No,,No,MODELED
WC2026_M100,PS032,SUI,14.07,14.62,33,Shot,Yes,SH17,No,MODELED
WC2026_M100,PS033,ARG,14.62,15.25,38,Shot,Yes,SH09,No,MODELED
