match_id,window_start,window_end,home_team_id,home_momentum_score,away_team_id,away_momentum_score,data_source
WC2026_M98,0,5,ESP,46.0,BEL,54.0,MODELED
WC2026_M98,5,10,ESP,56.3,BEL,43.7,MODELED
WC2026_M98,10,15,ESP,48.3,BEL,51.7,MODELED
WC2026_M98,15,20,ESP,53.3,BEL,46.7,MODELED
WC2026_M98,20,25,ESP,55.8,BEL,44.2,MODELED
WC2026_M98,25,30,ESP,73.7,BEL,26.3,MODELED
WC2026_M98,30,35,ESP,56.1,BEL,43.9,MODELED
WC2026_M98,35,40,ESP,47.1,BEL,52.9,MODELED
WC2026_M98,40,45,ESP,32.0,BEL,68.0,MODELED
WC2026_M98,45,50,ESP,51.2,BEL,48.8,MODELED
WC2026_M98,50,55,ESP,49.0,BEL,51.0,MODELED
WC2026_M98,55,60,ESP,41.4,BEL,58.6,MODELED
WC2026_M98,60,65,ESP,43.6,BEL,56.4,MODELED
WC2026_M98,65,70,ESP,56.0,BEL,44.0,MODELED
WC2026_M98,70,75,ESP,47.8,BEL,52.2,MODELED
WC2026_M98,75,80,ESP,50.6,BEL,49.4,MODELED
WC2026_M98,80,85,ESP,46.0,BEL,54.0,MODELED
WC2026_M98,85,90,ESP,70.0,BEL,30.0,MODELED
