match_id,pass_id,minute,team_id,passer_player_id,intended_receiver_player_id,origin_x,origin_y,destination_x,destination_y,outcome,led_to_shot_within_10s,resulting_shot_id,data_source
WC2026_M98,PB29,1,BEL,p_bel_04,p_bel_11,78.6,59.0,104.3,51.0,Unsuccessful,No,,MODELED
WC2026_M98,PB01,2,ESP,p_esp_02,p_esp_13,76.1,10.4,104.2,35.0,Unsuccessful,No,,MODELED
WC2026_M98,PB02,9,ESP,p_esp_09,p_esp_11,70.1,14.7,96.5,33.2,Unsuccessful,No,,MODELED
WC2026_M98,PB03,10,ESP,p_esp_09,p_esp_11,87.0,3.9,98.9,28.1,Successful,No,,MODELED
WC2026_M98,PB04,15,ESP,p_esp_08,p_esp_08,62.5,58.1,104.4,18.0,Unsuccessful,No,,MODELED
WC2026_M98,PB05,16,ESP,p_esp_05,p_esp_11,71.7,54.1,90.1,52.6,Unsuccessful,No,,MODELED
WC2026_M98,PB06,18,ESP,p_esp_08,p_esp_13,63.9,30.8,101.0,50.2,Unsuccessful,No,,MODELED
WC2026_M98,PB30,19,BEL,p_bel_09,p_bel_09,78.0,55.5,95.2,39.7,Successful,No,,MODELED
WC2026_M98,PB07,20,ESP,p_esp_10,p_esp_08,87.8,63.0,90.0,38.5,Successful,Yes,SH06,MODELED
WC2026_M98,PB08,28,ESP,p_esp_08,p_esp_07,71.3,60.2,98.7,45.7,Successful,No,,MODELED
WC2026_M98,PB09,29,ESP,p_esp_05,p_esp_09,78.7,12.8,97.9,28.6,Successful,Yes,SH09,MODELED
WC2026_M98,PB10,30,ESP,p_esp_09,p_esp_08,86.2,60.5,94.6,20.8,Successful,No,,MODELED
WC2026_M98,PB11,32,ESP,p_esp_10,p_esp_11,72.1,51.0,98.4,44.6,Unsuccessful,No,,MODELED
WC2026_M98,PB12,33,ESP,p_esp_02,p_esp_13,62.4,7.0,100.3,17.8,Successful,Yes,SH10,MODELED
WC2026_M98,PB31,34,BEL,p_bel_10,p_bel_10,68.1,60.9,98.7,17.3,Successful,No,,MODELED
WC2026_M98,PB32,35,BEL,p_bel_06,p_bel_09,78.5,36.7,95.7,20.1,Successful,No,,MODELED
WC2026_M98,PB33,40,BEL,p_bel_08,p_bel_11,73.5,28.5,100.3,35.4,Successful,No,,MODELED
WC2026_M98,PB13,41,ESP,p_esp_05,p_esp_08,69.6,29.8,102.8,17.5,Unsuccessful,No,,MODELED
WC2026_M98,PB14,42,ESP,p_esp_10,p_esp_08,72.8,7.7,89.5,29.1,Successful,No,,MODELED
WC2026_M98,PB34,47,BEL,p_bel_10,p_bel_11,87.4,57.2,94.7,33.6,Unsuccessful,No,,MODELED
WC2026_M98,PB15,48,ESP,p_esp_06,p_esp_07,71.6,33.3,97.2,32.1,Successful,Yes,SH12,MODELED
WC2026_M98,PB16,53,ESP,p_esp_08,p_esp_13,67.8,28.8,101.5,22.3,Successful,Yes,SH12,MODELED
WC2026_M98,PB17,56,ESP,p_esp_02,p_esp_11,80.2,14.8,98.2,26.6,Unsuccessful,No,,MODELED
WC2026_M98,PB18,61,ESP,p_esp_13,p_esp_11,65.2,57.0,92.9,33.8,Unsuccessful,No,,MODELED
WC2026_M98,PB35,62,BEL,p_bel_04,p_bel_10,87.8,14.4,94.0,45.7,Unsuccessful,No,,MODELED
WC2026_M98,PB19,66,ESP,p_esp_12,p_esp_08,78.3,38.0,96.6,52.3,Successful,Yes,SH13,MODELED
WC2026_M98,PB20,70,ESP,p_esp_06,p_esp_11,73.6,14.8,99.5,26.9,Unsuccessful,No,,MODELED
WC2026_M98,PB21,71,ESP,p_esp_08,p_esp_07,84.2,49.7,89.8,14.5,Successful,No,,MODELED
WC2026_M98,PB22,75,ESP,p_esp_05,p_esp_08,78.8,67.2,100.8,34.4,Successful,Yes,SH15,MODELED
WC2026_M98,PB36,75,BEL,p_bel_06,p_bel_09,81.2,63.5,100.5,38.1,Successful,Yes,SH21,MODELED
WC2026_M98,PB23,76,ESP,p_esp_02,p_esp_11,81.7,4.5,90.4,38.7,Successful,Yes,SH15,MODELED
WC2026_M98,PB37,76,BEL,p_bel_08,p_bel_09,62.7,24.8,99.9,23.8,Unsuccessful,No,,MODELED
WC2026_M98,PB24,77,ESP,p_esp_12,p_esp_07,62.9,19.7,89.4,40.3,Successful,No,,MODELED
WC2026_M98,PB25,79,ESP,p_esp_06,p_esp_13,64.6,16.4,96.2,31.0,Successful,Yes,SH16,MODELED
WC2026_M98,PB26,80,ESP,p_esp_12,p_esp_08,87.6,33.9,95.6,35.1,Successful,Yes,SH17,MODELED
WC2026_M98,PB27,81,ESP,p_esp_06,p_esp_11,77.0,48.2,100.1,40.0,Successful,No,,MODELED
WC2026_M98,PB38,84,BEL,p_bel_08,p_bel_14,67.0,22.7,102.3,20.9,Unsuccessful,No,,MODELED
WC2026_M98,PB28,85,ESP,p_esp_08,p_esp_09,63.7,8.7,88.6,17.4,Successful,Yes,SH05,MODELED
