zone_id,zone_code,zone_label,x_min,x_max,y_min,y_max,data_source
Z1,C1R1,Def-1 / Left-Wide,0.0,17.5,0.0,13.6,MODELED
Z2,C1R2,Def-1 / Left-Half,0.0,17.5,13.6,27.2,MODELED
Z3,C1R3,Def-1 / Central,0.0,17.5,27.2,40.8,MODELED
Z4,C1R4,Def-1 / Right-Half,0.0,17.5,40.8,54.4,MODELED
Z5,C1R5,Def-1 / Right-Wide,0.0,17.5,54.4,68.0,MODELED
Z6,C2R1,Def-2 / Left-Wide,17.5,35.0,0.0,13.6,MODELED
Z7,C2R2,Def-2 / Left-Half,17.5,35.0,13.6,27.2,MODELED
Z8,C2R3,Def-2 / Central,17.5,35.0,27.2,40.8,MODELED
Z9,C2R4,Def-2 / Right-Half,17.5,35.0,40.8,54.4,MODELED
Z10,C2R5,Def-2 / Right-Wide,17.5,35.0,54.4,68.0,MODELED
Z11,C3R1,Mid-1 / Left-Wide,35.0,52.5,0.0,13.6,MODELED
Z12,C3R2,Mid-1 / Left-Half,35.0,52.5,13.6,27.2,MODELED
Z13,C3R3,Mid-1 / Central,35.0,52.5,27.2,40.8,MODELED
Z14,C3R4,Mid-1 / Right-Half,35.0,52.5,40.8,54.4,MODELED
Z15,C3R5,Mid-1 / Right-Wide,35.0,52.5,54.4,68.0,MODELED
Z16,C4R1,Mid-2 / Left-Wide,52.5,70.0,0.0,13.6,MODELED
Z17,C4R2,Mid-2 / Left-Half,52.5,70.0,13.6,27.2,MODELED
Z18,C4R3,Mid-2 / Central,52.5,70.0,27.2,40.8,MODELED
Z19,C4R4,Mid-2 / Right-Half,52.5,70.0,40.8,54.4,MODELED
Z20,C4R5,Mid-2 / Right-Wide,52.5,70.0,54.4,68.0,MODELED
Z21,C5R1,Att-1 / Left-Wide,70.0,87.5,0.0,13.6,MODELED
Z22,C5R2,Att-1 / Left-Half,70.0,87.5,13.6,27.2,MODELED
Z23,C5R3,Att-1 / Central,70.0,87.5,27.2,40.8,MODELED
Z24,C5R4,Att-1 / Right-Half,70.0,87.5,40.8,54.4,MODELED
Z25,C5R5,Att-1 / Right-Wide,70.0,87.5,54.4,68.0,MODELED
Z26,C6R1,Att-2 / Left-Wide,87.5,105.0,0.0,13.6,MODELED
Z27,C6R2,Att-2 / Left-Half,87.5,105.0,13.6,27.2,MODELED
Z28,C6R3,Att-2 / Central,87.5,105.0,27.2,40.8,MODELED
Z29,C6R4,Att-2 / Right-Half,87.5,105.0,40.8,54.4,MODELED
Z30,C6R5,Att-2 / Right-Wide,87.5,105.0,54.4,68.0,MODELED
